Tier,Category,Source,Research focus,URL,Trust / Priority,Notes
Tier 2,Telecom regulator,BTRC,Telecom and internet subscriber data,https://btrc.gov.bd,High,Official telecom/internet source.
Tier 2,Statistics,Bangladesh Bureau of Statistics,"Demographics, labor force, urbanization, income, MSME context",https://bbs.gov.bd,High,Official statistics source.
Tier 2,Practitioner training,Accelerating Bangladesh,"Founder webinars and course recordings: cross-border growth, valuation, supply chain, export, due diligence, GTM, sector sessions",https://acceleratingbangladesh.com/courses/,Medium,"Practitioner material and a source of local examples, terminology and failure modes. Never authority for a legal, tax or FX rule; cite the exact course or recording URL and the named speaker, and do not imply endorsement of Deshi Startup."
Tier 3,Startup media,Future Startup,"Founder interviews, company profiles, ecosystem analysis",https://futurestartup.com,High,Key source for founder lessons and quotes.
Tier 3,Startup media,Start-Up News,Founder and startup profiles,,Medium,Use when individual stories are relevant.
Tier 3,Mainstream media,The Daily Star Tech & Startup,Tech/startup reporting and interviews,https://www.thedailystar.net/tech-startup,High,Use for public-company and ecosystem stories.
Tier 3,Mainstream media,The Business Standard,Startup analysis and business reporting,https://www.tbsnews.net,High,Use for local market and funding coverage.
Tier 3,Mainstream media,Dhaka Tribune Business,Business and startup reporting,https://www.dhakatribune.com/business,Medium,Supplemental media source.
Tier 3,Business publication,Business Inspection BD,"Company explainers, startup and market stories",https://businessinspection.com.bd,Medium,Use selectively; verify against primary sources.
Tier 3,Marketing publication,Markedium / Markopolo / local marketing publications,"Marketing behavior, campaigns, ad practices",,Medium,Useful for acquisition and distribution content.
Tier 3,International media,TechCrunch Bangladesh coverage,Funding and startup articles,https://techcrunch.com,Medium,Use for international investment narratives.
Tier 3,International media,Rest of World Bangladesh coverage,Tech/startup stories and social context,https://restofworld.org,Medium,Use for broader social and market nuance.
Tier 3,Founder content,"Podcasts, YouTube interviews, LinkedIn posts, event talks","Founder lessons, quotes, tactical patterns, mistakes",,Medium,Use credible public sources; avoid private group content unless public and reliable.
Tier 4,Bangla resource,Prothom Alo business / entrepreneurship,Bangla entrepreneurship and business articles,https://www.prothomalo.com/business,Medium,Useful for Bangla-facing content and search terms.
Tier 4,Bangla resource,Bangla startup blogs and YouTube interviews,"Founder interviews, practical guides, language patterns",,Medium,Evaluate credibility case by case.
Tier 4,Bangla legal guides,LawDoors / Justice Corner BD,"RJSC, trade license, VAT, startup registration explainers",,Medium,Use as inspiration; verify legal claims from official sources.
Tier 4,Existing guide,BDICTCLUB startup guide,Existing Bangla startup guide structure,https://bdictclub.net/startup-business-guide/,Medium,"Structure inspiration, not source of truth."
Tier 4,Directory,eSheBee ecosystem directory,Startup ecosystem organizations and directory model,https://eshebee.com/startup-ecosystem/,Medium,Directory inspiration and source leads.
Reference,International model,Y Combinator Startup School,Startup education structure and plain-language model,https://startupschool.org,Low,"Use for structure, not Bangladesh content."
Reference,International model,Startup India Learning Program,Government ecosystem learning structure,https://startupindia.gov.in,Low,"Use for structure, not Bangladesh content."
Reference,International model,Stripe Atlas Guides,Legal/business guide clarity and sequencing,https://stripe.com/atlas/guides,Low,"Use for structure, not Bangladesh content."
Reference,International model,Paul Graham essays / Lean Startup / Stanford How to Start a Startup,"Communication style, philosophy, methodology",,Low,Use sparingly; localize heavily.
