Section,Subsection,Topic (Bangla),Topic (English),Path,Content type,Priority,Notes
Phase 1: Starting,Business Structure,খরচ ও সময়সীমা সহ ব্যবসায়িক কাঠামোর তুলনামূলক সারণী,Business structure comparison table with costs and timelines,/registration/structure-comparison,Guide / Comparison,High,
Phase 1: Starting,Business Structure,প্রতিষ্ঠাতা চুক্তির মূল বিষয়গুলি,Founder agreement basics,/cofounders/founder-agreement,Guide / Comparison,High,
Phase 1: Starting,Business Structure,বাংলাদেশে co-founder equity split ও vesting,Co-founder equity splits and vesting in Bangladesh,/cofounders/equity-and-vesting,Guide / Comparison,High,
Phase 1: Starting,Business Structure,বাংলাদেশে solo founder বনাম team founder: বাস্তব trade-off,Solo founder vs team founder tradeoffs in Bangladesh,/cofounders/solo-vs-team,Guide / Comparison,High,
Phase 1: Starting,Company Registration,আরজেএসসি নাম ছাড়পত্র,RJSC name clearance,/registration/name-clearance,Guide / Checklist,High,Steps to reserve a company name. Tip: Have 3 alternative names ready.
Phase 1: Starting,Company Registration,ধাপে ধাপে প্রাইভেট লিমিটেড কোম্পানি নিবন্ধন,Private limited company registration step-by-step,/registration/private-limited,Guide / Checklist,High,Detailed incorporation guide. Tip: Hire a professional if you want to save time.
Phase 1: Starting,Company Registration,স্মারকলিপি এবং সংঘবিধির মূল বিষয়াবলী,Memorandum and Articles of Association basics,/registration/moa-aoa,Guide / Checklist,High,Explains the constitutional documents of a company. Tip: Use standard templates unless you have complex needs.
Phase 1: Starting,Company Registration,আরজেএসসি ফি এবং সময়সীমা সংক্রান্ত প্রত্যাশা,RJSC fees and timeline expectations,/registration/rjsc-fees,Guide / Checklist,High,Breakdown of official costs. Tip: Keep extra budget for miscellaneous processing fees.
Phase 1: Starting,Company Registration,আরজেএসসি-এর সাধারণ ভুলগুলো,Common RJSC mistakes,/registration/rjsc-mistakes,Guide / Checklist,High,Pitfalls during registration. Tip: Double-check all NID details before submission.
Phase 1: Starting,Company Registration,ডিজিটাল ব্যবসায়িক পরিচয় (ডিবিআইডি),Digital Business Identity (DBID),/registration/dbid,Guide / Checklist,High,Guide on mandatory e-commerce registration. Tip: Required for all online sellers.
Phase 1: Starting,Company Registration,"আরজেএসসি থেকে সার্টিফাইড কপি: কী পাওয়া যায় আর কী পাওয়া যায় না","Certified copies from RJSC: what you can get, and what you cannot",/registration/certified-copies,Guide / Checklist,High,Post-registration compliance. Tip: Set calendar reminders for annual filings.
Phase 1: Starting,Company Registration,আইনসম্মতভাবে একটি কোম্পানি বন্ধ করে দেওয়া,Closing down a company legally,/registration/closing-a-company,Guide / Checklist,High,"Process for winding up. Tip: Do not just abandon the company, it can lead to legal issues."
Phase 1: Starting,Local Licenses & Tax,ট্রেড লাইসেন্স নির্দেশিকা,Trade license guide,/trade-license,Guide / Tracker,High,How to get a basic business license. Tip: Apply at the local city corporation or union parishad.
Phase 1: Starting,Local Licenses & Tax,ট্রেড লাইসেন্সের খরচ এবং নবায়ন প্রক্রিয়া,Trade license costs and renewal process,/licenses/trade-license-renewal,Guide / Tracker,High,Fee structures and deadlines. Tip: Renew before July to avoid penalties.
Phase 1: Starting,Local Licenses & Tax,ই-টিআইএন গাইড,e-TIN guide,/tax/e-tin,Guide / Tracker,High,Steps to get a Tax Identification Number. Tip: Required for directors and the company.
Phase 1: Starting,Local Licenses & Tax,ভ্যাট/বিন নির্দেশিকা,VAT/BIN guide,/tax/vat-bin,Guide / Tracker,High,How to get a Business Identification Number. Tip: Needed for importing or participating in tenders.
Phase 1: Starting,Local Licenses & Tax,যখন ভ্যাট নিবন্ধন প্রয়োজন,When VAT registration is required,/tax/when-vat-required,Guide / Tracker,High,Thresholds for mandatory VAT. Tip: Check if your specific service is exempt.
Phase 1: Starting,Local Licenses & Tax,কীভাবে ট্যাক্স এবং ভ্যাট রিটার্ন দাখিল করবেন,How to file tax and VAT returns,/tax/filing-returns,Guide / Tracker,High,Basic filing procedures. Tip: Hire a tax consultant for the first few filings.
Phase 1: Starting,Local Licenses & Tax,টার্নওভার ট্যাক্স এবং ভ্যাট থ্রেশহোল্ড ব্যাখ্যা,Turnover tax and VAT threshold explainer,/tax/vat-thresholds,Guide / Tracker,High,Differences between turnover tax and standard VAT. Tip: Keep accurate sales records.
Phase 1: Starting,Local Licenses & Tax,বার্ষিক সম্মতি চেকলিস্ট,Annual compliance checklist,/tax/annual-compliance,Guide / Tracker,High,Yearly legal requirements. Tip: Maintain a compliance folder.
Phase 1: Starting,Local Licenses & Tax,"বাজেট, এনবিআর সার্কুলার, আরজেএসসি নোটিশের নিয়ন্ত্রক পরিবর্তন তালিকা","Regulatory changelog for budget, NBR circulars, RJSC notices",/tax/regulatory-changelog,Guide / Tracker,High,
Phase 1: Starting,Banking & Payments Setup,"ব্যবসার ব্যাংক অ্যাকাউন্ট: কোন ব্যাংকে গেলে খুলবে","Business bank account: which bank will actually open one",/payments/bank-account,Guide / Checklist,High,
Phase 1: Starting,Banking & Payments Setup,কোন ব্যাংকগুলো স্টার্টআপ-বান্ধব?,Which banks are startup-friendly,/payments/startup-friendly-banks,Guide / Checklist,High,
Phase 1: Starting,Banking & Payments Setup,কর্পোরেট ব্যাংক অ্যাকাউন্টের ডকুমেন্টেশন চেকলিস্ট,Corporate bank account documentation checklist,/payments/bank-documents,Guide / Checklist,High,
Phase 1: Starting,Banking & Payments Setup,"বিকাশ, নগদ ও পেমেন্ট গেটওয়ে: কোনটা কখন লাগে","bKash, Nagad, and payment gateways: which one you actually need",/payments/mfs-and-gateways,Guide / Checklist,High,
Phase 1: Starting,Banking & Payments Setup,গেটওয়ে ইন্টিগ্রেশন: ডেভেলপারকে যা বলে দিতে হবে,Gateway integration: what to tell your developer,/payments/gateway-integration,Guide / Checklist,High,
Phase 1: Starting,Banking & Payments Setup,"কার্ড আছে, কার্ডে কেনাকাটা নেই: টাকা নেওয়ার পথ যেভাবে সাজাবেন","Cards are common, card purchases are not: how to set up payments",/payments/low-card-penetration,Guide / Checklist,High,
Phase 1: Starting,Banking & Payments Setup,"SaaS রপ্তানি, রেমিট্যান্স ও বিদেশি শেয়ারহোল্ডারের বৈদেশিক মুদ্রার নিয়ম","Foreign exchange basics for SaaS export, remittance, and foreign shareholders",/trade/foreign-exchange,Guide / Checklist,High,
Phase 1: Starting,Import / Export / IP,আমদানি-রপ্তানি নিবন্ধনের প্রাথমিক ধারণা,Import/export registration basics,/trade/import-export-registration,Guide,Medium,
Phase 1: Starting,Import / Export / IP,আইআরসি/ইআরসি চেকলিস্ট,IRC/ERC checklist,/trade/irc-erc-checklist,Guide,Medium,
Phase 1: Starting,Import / Export / IP,বাংলাদেশ থেকে রপ্তানিমুখী SaaS,Export-oriented SaaS from Bangladesh,/ideas/export-saas,Guide,Medium,
Phase 1: Starting,Import / Export / IP,মেধাস্বত্ব ও ট্রেডমার্কের প্রাথমিক ধারণা,Intellectual property and trademark basics,/ip/basics,Guide,Medium,
Phase 1: Starting,Import / Export / IP,"কপিরাইট, পেটেন্ট, ডিজাইন এবং ট্রেডমার্ক","Copyright, patents, designs, and trademarks",/ip/copyright-patent-design,Guide,Medium,
Phase 1: Starting,Import / Export / IP,ইসলামী অর্থায়ন / হালাল ব্যবসা সংক্রান্ত বিবেচ্য বিষয়সমূহ (যেখানে প্রাসঙ্গিক),Islamic finance / halal business considerations where relevant,/funding/islamic-finance,Guide,Medium,
Phase 1: Starting,Idea & Validation,সমস্যার তালিকা থেকে ব্যবসার সুযোগ বাছাই,Turning a problem list into a business opportunity,/ideas/problem-to-opportunity,Guide / Template,High,Practical ideation workflow.
Phase 1: Starting,Idea & Validation,"ঢাকার বাইরে যাচাই: দেশের সাত ভাগের ছয় ভাগ যেখানে","Validating outside Dhaka: where six-sevenths of the country is",/validation/outside-dhaka,Guide,High,Bangladesh-specific distribution reality.
Phase 1: Starting,Idea & Validation,ফেসবুক গ্রুপে চাহিদা পরীক্ষা,Testing demand in Facebook groups,/validation/facebook-group-tests,Playbook,High,DataReportal shows Facebook is a major Bangladesh channel.
Phase 1: Starting,Idea & Validation,প্রি-অর্ডার নাকি ওয়েটলিস্ট: কোনটা ব্যবহার করবেন,Pre-orders vs waitlists in Bangladesh,/validation/preorders-vs-waitlists,Guide,High,Useful for commerce and SaaS.
Phase 1: Starting,Idea & Validation,"সার্ভে নয়, সাক্ষাৎকার: বাংলাদেশে কেন বেশি কার্যকর",Why interviews beat surveys in Bangladesh,/validation/interviews-vs-surveys,Guide,High,Low-trust market nuance.
Phase 1: Starting,Idea & Validation,"ফিল্ড রিসার্চ পরিকল্পনা: বাজার, দোকান, মহল্লা","Field research plan: markets, shops and neighborhoods",/validation/field-research-plan,Template,High,For offline-first validation.
Phase 1: Starting,Idea & Validation,"প্রতিযোগী ম্যাপ: অনলাইন, অফলাইন ও অনানুষ্ঠানিক প্রতিদ্বন্দ্বী","Competitor map: online, offline and informal competitors",/ideas/competitor-map,Template,High,Includes informal economy.
Phase 1: Starting,Idea & Validation,নকল আইডিয়া বনাম বাংলাদেশে মানানো আইডিয়া,Copied ideas vs localized ideas,/ideas/copy-vs-localize,Guide,Medium,Avoid shallow Silicon Valley copying.
Phase 1: Starting,Idea & Validation,প্রথম দিকের বিশ্বাসযোগ্যতার সংকেত কীভাবে পরীক্ষা করবেন,How to test early trust signals,/validation/trust-signals,Guide,High,Trust-first Bangladesh angle.
Phase 1: Starting,Idea & Validation,গ্রাহকের পেমেন্ট আচরণ কীভাবে যাচাই করবেন,How to validate customer payment behavior,/validation/payment-behavior,Guide,High,"Important for COD, wallet and subscription businesses."
Phase 1: Starting,Idea & Validation,গ্রাহকের ভাষা সংগ্রহ করে বাংলা কপি লেখা,Collecting customer language for Bangla copywriting,/validation/customer-language,Template,Medium,Supports Bangla-first UX and landing pages.
Phase 1: Starting,Market Research,"BBS, BTRC, World Bank ও DataReportal দিয়ে বাজার বোঝা","Using BBS, BTRC, World Bank and DataReportal for market research",/ideas/using-market-data,Guide,High,"Source lead: BBS, BTRC, World Bank, DataReportal."
Phase 1: Starting,Market Research,ফেসবুক অ্যাড লাইব্রেরি দিয়ে বাজার ও প্রতিযোগী বোঝা,Using Facebook Ad Library for market and competitor research,/ideas/facebook-ad-library,Guide,Medium,Useful for social commerce categories.
Phase 1: Starting,Market Research,"দোকান, বাজার ও মহল্লা পর্যবেক্ষণের ফিল্ড নোট টেমপ্লেট","Field notes template for shops, markets and neighborhoods",/validation/field-notes-template,Template,High,For physical and commerce startups.
Phase 1: Starting,Market Research,বাংলাদেশে TAM/SAM/SOM হিসাব করার সহজ পদ্ধতি,Simple TAM/SAM/SOM sizing for Bangladesh,/ideas/tam-sam-som,Guide / Template,High,Localized market sizing.
Phase 1: Starting,Market Research,"শহরভিত্তিক লঞ্চ বাজার বাছাই: ঢাকা, চট্টগ্রাম, সিলেট, রাজশাহী, খুলনা","Choosing launch cities: Dhaka, Chattogram, Sylhet, Rajshahi, Khulna",/ideas/launch-cities,Guide,Medium,Supports city expansion planning.
Phase 1: Starting,Market Research,গ্রামীণ বনাম শহুরে গ্রাহকের গ্রহণযোগ্যতার পার্থক্য,Rural vs urban customer adoption differences,/ideas/rural-vs-urban,Guide,Medium,Use BBS and field interviews.
Phase 1: Starting,Market Research,বাংলাদেশি গ্রাহক পারসোনা কীভাবে বানাবেন,How to build Bangladeshi consumer personas,/validation/consumer-personas,Template,Medium,Bangla-first customer segmentation.
Phase 1: Starting,Business Structure,একক মালিকানা দিয়ে শুরু করবেন কি না,Should you start as a sole proprietorship?,/registration/sole-proprietorship,Guide,High,Trade license and tax path.
Phase 1: Starting,Business Structure,পার্টনারশিপ ডিডে কী কী থাকবে,Partnership deed essentials,/registration/partnership-deed,Checklist,Medium,For non-company teams.
Phase 1: Starting,Business Structure,"প্রাইভেট লিমিটেড, OPC নাকি একক মালিকানা: সিদ্ধান্ত নেওয়ার গাইড","Private limited, OPC or sole proprietorship decision tree",/registration/structure-decision-tree,Guide / Comparison,High,"Source lead: RJSC, Invest Bangladesh."
Phase 1: Starting,Business Structure,বিদেশি মালিকানাধীন কোম্পানি শুরু করার বেসিক,Basics of starting a foreign-owned company in Bangladesh,/registration/foreign-owned-company,Guide,High,Source lead: Invest Bangladesh foreign investment resources.
Phase 1: Starting,Business Structure,"ব্রাঞ্চ, লিয়াজোঁ ও রিপ্রেজেন্টেটিভ অফিসের পার্থক্য","Branch, liaison and representative office differences",/registration/branch-liaison-office,Guide,Medium,For foreign/diaspora founders.
Phase 1: Starting,Business Structure,"শেয়ার ক্যাপিটাল, পরিচালক ও শেয়ারহোল্ডার বেসিক","Share capital, directors and shareholders basics",/registration/shares-and-directors,Guide,High,RJSC-facing explainer.
Phase 1: Starting,Company Registration,কোম্পানি নিবন্ধনের পর প্রথম ১০টি কাজ,First 10 things after company registration,/registration/after-registration,Checklist,High,"Bank, TIN, VAT, accounting, compliance."
Phase 1: Starting,Company Registration,RJSC বার্ষিক রিটার্ন ও ফাইলিং ক্যালেন্ডার,RJSC annual returns and filing calendar,/registration/annual-returns,Tracker,High,Source lead: RJSC.
Phase 1: Starting,Company Registration,ইনভেস্ট বাংলাদেশ OSS ও BanglaBiz starter resources কীভাবে ব্যবহার করবেন,How to use Invest Bangladesh OSS and BanglaBiz starter resources,/registration/bida-banglabiz,Guide,High,Source lead: Invest Bangladesh OSS.
Phase 1: Starting,Company Registration,"CA, আইনজীবী ও কোম্পানি সেক্রেটারি বাছাইয়ের গাইড","How to choose a CA, lawyer and company secretary",/registration/ca-lawyer-secretary,Guide,Medium,Credibility and cost control.
Phase 1: Starting,Company Registration,কোম্পানি বন্ধ করার আগে কী কী ভাববেন,What to consider before closing a company,/registration/before-closing,Guide / Checklist,Medium,Rare but important lifecycle topic.
Phase 1: Starting,Local Licenses & Tax,সিটি কর্পোরেশনভেদে ট্রেড লাইসেন্স ক্যাটেগরি বাছাই,Choosing the right trade license category by city corporation,/licenses/trade-license-category,Guide,High,Source lead: city corporation pages.
Phase 1: Starting,Local Licenses & Tax,কারখানা লাইসেন্স ও DIFE কমপ্লায়েন্স বেসিক,Factory license and DIFE compliance basics,/licenses/factory-license,Guide / Checklist,High,For physical/manufacturing startups.
Phase 1: Starting,Local Licenses & Tax,ফায়ার লাইসেন্স ও নিরাপত্তা ছাড়পত্র বেসিক,Fire license and safety clearance basics,/licenses/fire-license,Guide / Checklist,High,"For offices, warehouses and factories."
Phase 1: Starting,Local Licenses & Tax,পরিবেশ ছাড়পত্র: কোন ব্যবসার জন্য দরকার,Environmental clearance: which businesses need it?,/licenses/environmental-clearance,Guide,High,Source lead: Department of Environment.
Phase 1: Starting,Local Licenses & Tax,BSTI সার্টিফিকেশন কখন লাগবে,When BSTI certification is required,/licenses/bsti,Guide,Medium,For product and manufacturing businesses.
Phase 1: Starting,Local Licenses & Tax,খাদ্য ব্যবসা করলে BFSA ও নিরাপদ খাদ্য চেকলিস্ট,BFSA and food safety checklist for food businesses,/licenses/food-safety,Checklist,High,"For food, grocery and agro-processing."
Phase 1: Starting,Local Licenses & Tax,"ওষুধ, সাপ্লিমেন্ট বা স্বাস্থ্যপণ্য হলে DGDA পথচিত্র","DGDA pathway for medicine, supplements and health products",/licenses/dgda,Guide,High,For health commerce and products.
Phase 1: Starting,Local Licenses & Tax,"SMS, টেলিকম বা ISP পণ্যে BTRC প্রশ্নগুলো","BTRC questions for SMS, telecom and ISP products",/licenses/btrc,Guide,Medium,"For OTP, telco and connectivity products."
Phase 1: Starting,Local Licenses & Tax,কুরিয়ার বা লজিস্টিকস ব্যবসার লাইসেন্সিং প্রশ্ন,Licensing questions for courier or logistics businesses,/licenses/courier-logistics,Guide,Medium,For logistics startups.
Phase 1: Starting,Local Licenses & Tax,রাইড-শেয়ারিং বা পরিবহন পণ্যের নিয়ন্ত্রক চেকলিস্ট,Regulatory checklist for ride-sharing or transport products,/licenses/ride-sharing,Checklist,Medium,For mobility startups.
Phase 1: Starting,Local Licenses & Tax,ট্রাভেল এজেন্সি বা tour operator ব্যবসা শুরুর চেকলিস্ট,Checklist for starting a travel agency or tour operator,/licenses/travel-agency,Checklist,Medium,For travel startups.
Phase 1: Starting,Local Licenses & Tax,"কারখানার ইউটিলিটি সেটআপ: বিদ্যুৎ, গ্যাস, পানি, বয়লার","Factory utility setup: electricity, gas, water and boiler",/licenses/factory-utilities,Guide,Medium,For manufacturing and processing businesses.
Phase 1: Starting,Local Licenses & Tax,"কর ক্যালেন্ডার: আয়কর, VAT, TDS, VDS ও বার্ষিক রিটার্ন","Tax calendar: income tax, VAT, TDS, VDS and annual returns",/tax/tax-calendar,Tracker,High,Source lead: NBR.
Phase 1: Starting,Local Licenses & Tax,ব্যক্তিগত e-TIN বনাম কোম্পানি TIN,Personal e-TIN vs company TIN,/tax/personal-vs-company-tin,Guide,High,Source lead: NBR e-TIN.
Phase 1: Starting,Local Licenses & Tax,BIN/VAT নিবন্ধনের পর মাসিক রিটার্নের কাজের ধাপ,Monthly return workflow after BIN/VAT registration,/tax/monthly-vat-return,Guide,High,Source lead: VAT Online.
Phase 1: Starting,Local Licenses & Tax,মূসক ৬.৩ চালান ও VAT ডকুমেন্টেশন বেসিক,Mushak 6.3 invoice and VAT documentation basics,/tax/mushak-63,Guide,High,Source lead: NBR VAT guides.
Phase 1: Starting,Local Licenses & Tax,ভেন্ডর পেমেন্টের সময় TDS/VDS কী কাটবেন,TDS/VDS on vendor payments,/tax/tds-vds,Guide,High,Needs CA review.
Phase 1: Starting,Local Licenses & Tax,পে-রোল ট্যাক্স ও কর্মী ডকুমেন্টেশন,Payroll tax and employee documentation,/tax/payroll-tax,Guide,Medium,For first hires.
Phase 1: Starting,Local Licenses & Tax,"অডিট, হিসাব ও বুককিপিং সেটআপ","Audit, accounts and bookkeeping setup",/tax/bookkeeping-setup,Guide / Checklist,High,For registered companies.
Phase 1: Starting,Local Licenses & Tax,a-Chalan ও অনলাইন কর পেমেন্টের কাজের ধাপ,a-Chalan and online tax payment workflow,/tax/a-chalan,Guide,Medium,Source lead: NBR / a-Chalan.
Phase 1: Starting,Local Licenses & Tax,প্রতি জুনে বাজেট চেঞ্জলগ কীভাবে আপডেট করবেন,How to update the budget changelog every June,/tax/budget-changelog,Process,High,Keep compliance content fresh.
Phase 1: Starting,Banking & Payments Setup,মার্চেন্ট অ্যাকাউন্ট খুলতে কী কী লাগে,What you need to open a merchant account,/payments/merchant-account,Checklist,High,Bank and payment gateway docs.
Phase 1: Starting,Banking & Payments Setup,"পেমেন্ট গেটওয়ে তুলনা: SSLCOMMERZ, aamarPay, PortPos ও ShurjoPay","Payment gateway comparison: SSLCOMMERZ, aamarPay, PortPos and ShurjoPay",/payments/gateway-comparison,Comparison,High,"Gateway selection framework. PortWallet rebranded to PortPos; keep rates dated."
Phase 1: Starting,Banking & Payments Setup,"বিকাশ ব্যক্তিগত বনাম মার্চেন্ট অ্যাকাউন্ট: দেয়ালটা কোথায়",bKash personal vs merchant account: where the wall is,/payments/bkash-merchant,Guide,High,Keep brand name intact.
Phase 1: Starting,Banking & Payments Setup,নগদ ও রকেট মার্চেন্ট সেটআপ চেকলিস্ট,Nagad and Rocket merchant setup checklist,/payments/nagad-rocket-merchant,Checklist,Medium,Wallet acceptance path.
Phase 1: Starting,Banking & Payments Setup,"পেমেন্ট মিলানো: গেটওয়ে, ওয়ালেট, ব্যাংক ও COD","Payment reconciliation across gateway, wallet, bank and COD",/payments/reconciliation,Guide / Template,High,Ops-critical topic.
Phase 1: Starting,Banking & Payments Setup,"রিফান্ড, চার্জব্যাক ও বিরোধ সামলানো","Refunds, chargebacks and dispute handling",/payments/refunds-chargebacks,Guide,High,Trust and finance ops.
Phase 1: Starting,Banking & Payments Setup,সাবস্ক্রিপশন পেমেন্ট: টাকা কি নিজে থেকেই কাটবে?,Subscription payments: will the money pull itself?,/payments/subscription-payments,Guide,High,"Cards, wallets, invoices and manual renewal."
